# Title : in-situ observations catalog
# Description : catalogue of available in-situ observations per platform
# Project : MyOcean
# Format : 1.0
# Date of update : 201801240820
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Bagenkop_20171225.nc,54.7528,54.7528,10.6778,10.6778,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:23Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Ballen_20171225.nc,55.8167,55.8167,10.6444,10.6444,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:24Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Bandholm_20171225.nc,54.8333,54.8333,11.4833,11.4833,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:25Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Barseback_20171225.nc,55.7564,55.7564,12.9033,12.9033,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,SMHI,2018-01-20T01:01:16Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Bogense_20171225.nc,55.5667,55.5667,10.0833,10.0833,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:27Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Daugavgriva_20171225.nc,57.0500,57.0500,24.0167,24.0167,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,LEGMA,2018-01-18T19:01:30Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Degerby_20171225.nc,60.0319,60.0319,20.3848,20.3848,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,FMI,2018-01-18T13:01:24Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Dragor_20171225.nc,55.6000,55.6000,12.6833,12.6833,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-19T01:01:41Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Drogden_20171225.nc,55.5358,55.5358,12.7117,12.7117,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:38Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Faaborg_20171225.nc,55.1000,55.1000,10.2500,10.2500,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:40Z,R,SLEV DEPH
